user,created,device,phone_country,language,is_premium,has_been_premium,continent,country,region,city,postal_code
8d925955f08a10a4e215d7bf486a752841bb261c176d491771a29f604c92d787,2020-05-05 11:55:24 UTC,iOS,gb,en,false,false,Europe,Spain,Valencian Community,Castellon de la Plana,
4772993167f827a1da140617bb6d8e770a195e5b262dacbd7af0c323ed6b7eee,2021-09-27 14:57:49 UTC,Android,fr,fr,false,false,Europe,France,Auvergne-Rhone-Alpes,Lyon,
0cab76d8c3a3bc35a58c933f28d97c4ce7424f8ed3f2a25b29a79d9d1b6a194a,2018-04-19 11:12:51 UTC,iOS,fr,fr,false,false,Europe,France,Auvergne-Rhone-Alpes,(not set),
b4e4225da511bbe661cd671c68fe0dfb494c492184939310c8339a1059817622,2020-06-22 11:40:40 UTC,Android,fr,fr,false,false,Europe,France,Provence-Alpes-Cote d'Azur,Marseille,
28f2d34d5d49568696e8034928d6cc463fae2f401f79deaf324ebbb474b2d15e,2021-10-05 10:33:50 UTC,iOS,it,it,false,false,Europe,Italy,Campania,Salerno,
52b75e563c38e0b0fb95f609ea0f16ef874bff60aec49bca3893318b194706f8,2020-09-15 18:16:27 UTC,iOS,es,es,false,false,Europe,Spain,Madrid,Madrid,
fda8730c82f926d5c165235a6a67cfeef467547be07e0057d249cf5f5c0feaf2,2020-11-24 09:09:10 UTC,Android,es,es,false,false,Europe,Spain,Madrid,Madrid,
298756a070fe66bc8e8c1310c2de0f79249619663bfaee5b12db2ebe5500d1c9,2019-01-19 05:35:37 UTC,Android,fr,fr,false,false,Europe,France,Bourgogne-Franche-Comte,,
dad09e65d054d61ed2c20556482383726a97e4d7509181a0884edee7e9f7149e,2020-10-19 06:41:20 UTC,Android,,fr,false,false,Europe,France,Occitanie,(not set),.
38992d6fb778814c8ba9187f5b7cee5079889102de80ff67aeb18ee30771b12d,2020-01-13 13:40:37 UTC,iOS,be,nl,false,false,Europe,Belgium,Flanders,Ghent,
b7284c41fca6274ceb28ab9b72d46f304b8c708740c72bfab4cbf42c0ab4b2e3,2019-07-14 20:05:18 UTC,iOS,ch,fr,false,false,Europe,Switzerland,Zurich,Zurich,
f29ab327a5dbf098e7f3b480a4424d9acf532ff8da2d54e5123115a54046d409,2021-05-17 12:34:38 UTC,Android,it,it,false,false,Europe,Italy,Lombardy,Milan,
b00d0155f4fb58b28cd6a85677eb16172ab0da0b1c9095b3e68f6a99e9111e34,2019-03-04 10:11:59 UTC,iOS,fr,fr,false,false,Europe,France,Bourgogne-Franche-Comte,Belfort,
1da328d28f847be9f05848d073c0a2ef6ab5db2b529479f0ff6cc98f3c93269c,2018-07-14 05:26:44 UTC,Android,fr,fr,false,false,Europe,France,Hauts-de-France,Valenciennes,
6b207945a32b4f019b776880fead8b2dbc0a54ce4db8169610e9b68b0999f3c6,2021-09-14 18:19:01 UTC,iOS,us,fr,false,false,,,,,
e2d6060a2c4e0651c814e0dfabdf8d06734e6711ea9e2600e22eda208e5d4320,2021-06-22 10:38:14 UTC,iOS,fr,en,false,false,Europe,Iceland,Capital Region,Hafnarfjordur,
b9bf2ef1d740ad377349e362626b0b5cd13cec0e1bae5e61d1d280231472d066,2021-04-18 14:25:34 UTC,iOS,ge,en,false,false,Asia,Georgia,Tbilisi,Tbilisi,
ab6b77b11ee82797d9cdd47e86e705052b8c22abf775bb3946cf7d21533fe620,2019-10-03 16:51:58 UTC,Android,es,es,false,false,Europe,Spain,Madrid,Madrid,
07fd3fc80c7c4010ee6a330303ff917e095a5212044234c1051e22892c282894,2018-02-04 15:25:38 UTC,iOS,fr,fr,false,false,Europe,France,Nouvelle-Aquitaine,Limoges,
4471cc544a956c40c6511e1504ddbfcd70611d1433bf48e17359cc6cefbb80e1,2018-10-24 09:23:24 UTC,iOS,fr,fr,false,false,Africa,Réunion,Saint-Pierre,,
0c942c38eb7847a544b0ac4cf8cb75d6309423083a59056b49e4e42b0403b8c6,2019-03-11 07:05:59 UTC,iOS,fr,fr,false,false,Europe,France,Ile-de-France,Paris,
9734405529f9d113652e695947f6ccb2b437df7e855c0031317d7f0efffdcfbd,2019-01-12 20:14:20 UTC,iOS,fr,fr,false,false,Europe,France,Hauts-de-France,Senlis,
76d9c2f77e426936c2098ef0e6193d470348a59fccd8d30c74bbe85ba6109af6,2019-02-17 21:16:28 UTC,iOS,fr,fr,false,false,Europe,France,Ile-de-France,Paris,
1b40ff2638f6f63c0e202874e545682af3d3c6248a48a34e30b16c578459e947,2019-11-17 00:35:20 UTC,iOS,ch,fr,false,false,Europe,Switzerland,Vaud,Lausanne,
2623b6840bb8baef072a128148d435ab0b4f513230b98a107003e17be76fc1cf,2019-07-14 16:14:32 UTC,iOS,ch,fr,false,false,Europe,Switzerland,Geneva,Geneva,
1e75b3ab52b39dfa0b21772784e380ca58afb68104d05fadfd390043ea7046a6,2019-06-20 20:23:31 UTC,Android,fr,fr,false,false,Europe,France,,,
ea885e5f0ded272614c0f9e5038d9cbccba564aa42efe69bfb591fa49a019e28,2019-07-17 00:11:20 UTC,iOS,be,fr,true,true,Europe,Belgium,Brussels,Brussels,
9862a11629a1c77d56d56211c4d6d3f4617ca232046ed97f4fcd1346bb5170d7,2019-08-23 09:09:11 UTC,iOS,fr,fr,false,false,Europe,France,Occitanie,Beziers,34090
ca8264f5c61df61d66639fa612e2ad6d24b39fecadaf20675e314007069abf24,2018-01-01 11:07:19 UTC,Android,fr,fr,false,false,Europe,France,Nouvelle-Aquitaine,Chatellerault,
338114211a06212499b8227c8c9163a01b6dc85a806585e6e0cc2215dddaa2b8,2020-01-21 15:17:52 UTC,Android,es,en,false,false,Europe,Spain,Andalusia,,
dd3fdfbd4d4a35fb0e6b22232bbbf04f7750fe80fc585f45d7111d89bbddcbd4,2017-08-28 09:50:47 UTC,Android,fr,fr,false,false,Europe,France,Nouvelle-Aquitaine,Bordeaux,
3286fe59af3c1d8b5475374628d09a8754ef9e034c4e6931654086227ce297c9,2021-01-23 12:22:01 UTC,Android,fr,fr,false,false,Europe,France,Occitanie,Canet-en-Roussillon,
95438338896eda1c153dcd84b73b66afec35d9ae79d36cb70dc17f04453a48a3,2019-10-23 16:40:04 UTC,Android,es,es,false,false,Europe,Spain,Canary Islands,Santa Cruz de Tenerife,
763ab192eac05c75ae0687277f9d9164803846375028c7bce52ef3c8f5fed363,2020-09-02 04:50:46 UTC,Android,es,es,false,false,Europe,Spain,Valencian Community,,.
